FlightID,DepartureAirport,Path,Arrival Airport,Weather,Visibility (V),Turbulence Intensity (knots)  (TI),Wind Shear (m/s)  (WS),Air Traffic Density  (ATD),Precipitation(P),Pilot Experience(PE),Weather Forecast  Accuracy (%)  (FA),Maintenance History & Health Metrics  (MH),Safety Score
FL001,BOM,a,CCU,Smoke,7,11,4,0.05,0,7,77,1,71
FL002,BLR,b,IXC,Rain,4,25,17,0.07,6,14,74,4,62
FL003,DEL,a,HYD,Fog,6,5,3,0.18,0,15,64,1,72
FL004,BOM,c,CCU,Smoke,2,7,6,0.25,0,27,58,3,67
FL005,BLR,a,IXC,Fog,6,11,5,0.18,0,26,68,4,81
FL006,BOM,a,CCU,Fog,5,8,4,0.19,0,3,97,4,77
FL007,JAI,c,BLR,Fog,2,10,0,0.18,0,10,94,4,83
FL008,MAA,a,PNQ,Clear Skies,11,7,7,0.16,0,26,55,3,78
FL009,AMD,c,COK,Rain,6,8,4,0.2,3,22,94,4,83
FL010,JAI,a,BLR,Rain,10,22,9,0.19,6,3,96,4,68
FL011,AMD,a,COK,Fog,5,16,18,0.17,0,15,89,4,74
FL012,JAI,a,BLR,Rain,7,9,2,0.12,4,4,93,4,71
FL013,BLR,a,IXC,Fog,7,2,1,0.05,0,28,91,3,91
FL014,AMD,a,COK,Clear Skies,14,5,5,0.12,0,30,98,4,92
FL015,AMD,b,COK,Fog,8,6,7,0.07,0,24,73,4,85
FL016,AMD,b,COK,Fog,2,10,7,0.08,0,7,95,4,75
FL017,AMD,b,COK,Clear Skies,16,18,15,0.1,0,11,90,3,76
FL018,BLR,a,IXC,Rain,11,22,20,0.23,3,5,59,3,59
FL019,MAA,a,PNQ,Smoke,8,30,16,0.09,0,12,91,3,73
FL020,BLR,a,IXC,Fog,5,3,2,0.14,0,2,90,4,77
FL021,DEL,a,HYD,Rain,4,5,7,0.14,6,15,98,4,73
FL022,BLR,c,IXC,Rain,7,6,2,0.23,5,9,88,4,67
FL023,MAA,b,PNQ,Rain,5,11,7,0.19,3,29,76,3,71
FL024,DEL,b,HYD,Rain,10,27,24,0.21,5,27,95,3,59
FL025,JAI,b,BLR,Smoke,6,10,4,0.15,0,3,86,4,74
FL026,DEL,c,HYD,Clear Skies,9,12,7,0.05,0,8,95,4,81
FL027,DEL,a,HYD,Clear Skies,9,6,3,0.2,0,29,86,4,86
FL028,MAA,c,PNQ,Clear Skies,12,8,5,0.24,0,26,88,4,85
FL029,AMD,b,COK,Rain,9,16,23,0.2,6,14,77,4,60
FL030,JAI,a,BLR,Fog,7,6,0,0.11,0,5,75,3,78
FL031,MAA,b,PNQ,Smoke,8,10,5,0.13,0,8,93,3,80
FL032,BOM,a,CCU,Smoke,2,10,7,0.08,0,23,92,3,78
FL033,MAA,a,PNQ,Fog,5,8,7,0.13,0,27,67,4,80
FL034,AMD,a,COK,Rain,9,18,22,0.15,5,6,76,4,57
FL035,BLR,c,IXC,Fog,3,22,17,0.22,0,13,80,4,61
FL036,DEL,b,HYD,Clear Skies,12,10,0,0.12,0,27,84,3,90
FL037,DEL,a,HYD,Fog,7,11,7,0.23,0,16,89,4,73
FL038,BLR,b,IXC,Rain,5,10,5,0.23,7,29,85,4,70
FL039,AMD,a,COK,Clear Skies,9,7,3,0.16,0,17,96,1,80
FL040,BOM,c,CCU,Smoke,7,7,3,0.02,0,30,80,4,88
FL041,BLR,c,IXC,Rain,6,6,7,0.08,1,3,80,3,67
FL042,AMD,b,COK,Fog,4,13,13,0.07,0,15,92,4,79
FL043,MAA,a,PNQ,Clear Skies,16,9,0,0.22,0,23,90,4,91
FL044,BOM,a,CCU,Clear Skies,10,0,2,0.21,0,28,54,4,80
FL045,AMD,b,COK,Rain,10,5,3,0.16,5,8,74,4,77
FL046,DEL,b,HYD,Rain,4,12,6,0.04,2,2,88,4,67
FL047,JAI,c,BLR,Smoke,4,8,3,0.1,0,6,70,3,71
FL048,JAI,a,BLR,Clear Skies,8,2,2,0.05,0,27,75,4,89
FL049,BOM,a,CCU,Fog,3,17,10,0.13,0,2,66,4,65
FL050,BOM,a,CCU,Clear Skies,12,8,1,0.19,0,2,99,4,86
FL051,AMD,c,COK,Clear Skies,12,6,4,0.04,0,14,80,4,91
FL052,JAI,c,BLR,Fog,2,9,6,0.24,0,5,67,4,66
FL053,MAA,b,PNQ,Clear Skies,18,9,3,0.02,0,11,84,4,91
FL054,DEL,b,HYD,Smoke,7,5,1,0.14,0,24,71,4,87
FL055,BLR,a,IXC,Smoke,8,9,5,0.24,0,30,91,4,84
FL056,MAA,b,PNQ,Fog,3,8,0,0.06,0,15,70,4,86
FL057,DEL,c,HYD,Smoke,8,12,3,0.22,0,23,86,4,80
FL058,AMD,a,COK,Rain,7,6,7,0.22,7,11,95,3,62
FL059,JAI,c,BLR,Clear Skies,15,11,6,0.16,0,15,92,4,86
FL060,JAI,b,BLR,Rain,6,15,9,0.11,7,14,88,4,65
FL061,BOM,b,CCU,Fog,7,16,17,0.06,0,24,76,3,73
FL062,JAI,b,BLR,Fog,5,9,3,0.13,0,30,95,4,86
FL063,AMD,b,COK,Fog,5,7,6,0.13,0,30,83,3,77
FL064,BLR,b,IXC,Rain,8,0,0,0.05,2,13,85,4,86
FL065,MAA,c,PNQ,Clear Skies,14,15,12,0.07,0,19,79,3,83
FL066,JAI,c,BLR,Clear Skies,10,10,6,0.12,0,7,53,4,75
FL067,BOM,b,CCU,Fog,2,12,4,0.04,0,11,68,4,80
FL068,AMD,a,COK,Smoke,7,1,1,0.1,0,26,81,4,87
FL069,AMD,c,COK,Fog,4,2,1,0.03,0,7,94,4,85
FL070,BLR,b,IXC,Smoke,6,6,5,0.08,0,11,67,4,83
FL071,DEL,a,HYD,Clear Skies,12,29,23,0.03,0,5,63,4,66
FL072,MAA,b,PNQ,Fog,8,7,8,0.07,0,19,81,4,85
FL073,DEL,b,HYD,Clear Skies,11,9,2,0.23,0,30,85,3,82
FL074,BOM,b,CCU,Rain,9,9,5,0.21,1,20,93,3,78
FL075,BOM,b,CCU,Fog,4,5,4,0.07,0,8,73,3,74
FL076,AMD,b,COK,Smoke,5,3,1,0.01,0,4,69,4,83
FL077,BLR,c,IXC,Smoke,7,10,6,0.07,0,30,72,4,82
FL078,MAA,a,PNQ,Rain,5,19,22,0.18,3,2,69,3,51
FL079,MAA,a,PNQ,Rain,5,8,4,0.07,4,27,64,4,77
FL080,AMD,a,COK,Fog,6,11,5,0.18,0,5,74,4,75
FL081,AMD,b,COK,Fog,4,8,1,0.22,0,22,86,4,80
FL082,MAA,b,PNQ,Rain,6,2,0,0.22,5,27,90,4,79
FL083,MAA,a,PNQ,Rain,6,22,13,0.06,5,24,61,4,69
FL084,AMD,a,COK,Clear Skies,8,10,3,0.03,0,11,66,4,88
FL085,BOM,c,CCU,Smoke,2,10,4,0.06,0,2,56,3,68
FL086,DEL,a,HYD,Fog,5,7,1,0.14,0,15,90,3,86
FL087,AMD,b,COK,Fog,2,6,2,0.2,0,16,56,4,74
FL088,BLR,a,IXC,Clear Skies,8,19,9,0.14,0,23,95,3,80
FL089,MAA,c,PNQ,Smoke,4,6,0,0.17,0,2,94,4,77
FL090,JAI,a,BLR,Rain,10,10,4,0.04,6,11,72,3,82
FL091,MAA,b,PNQ,Clear Skies,8,5,5,0.16,0,11,80,4,83
FL092,BLR,b,IXC,Rain,5,10,0,0.08,1,3,91,4,80
FL093,MAA,a,PNQ,Rain,9,5,3,0.13,1,19,71,3,80
FL094,MAA,b,PNQ,Rain,7,9,4,0.23,2,24,93,1,69
FL095,DEL,c,HYD,Smoke,6,7,4,0.19,0,8,53,4,73
FL096,JAI,a,BLR,Rain,4,18,13,0.11,2,5,67,4,65
FL097,DEL,c,HYD,Smoke,6,7,6,0.03,0,21,88,4,84
FL098,BLR,a,IXC,Clear Skies,9,5,3,0.08,0,15,92,4,91
FL099,AMD,b,COK,Smoke,2,7,3,0.06,0,27,67,4,83
FL100,BOM,b,CCU,Rain,6,5,4,0.13,6,19,52,3,70
FL101,MAA,c,PNQ,Clear Skies,11,12,6,0.01,0,3,59,4,77
FL102,BOM,a,CCU,Smoke,2,11,5,0.03,0,13,83,4,80
FL103,DEL,c,HYD,Clear Skies,13,4,1,0.11,0,3,71,4,84
FL104,BLR,b,IXC,Smoke,3,2,2,0.02,0,20,88,3,82
FL105,DEL,b,HYD,Rain,4,10,0,0.22,7,14,91,4,70
FL106,AMD,b,COK,Rain,10,1,2,0.12,6,15,94,3,83
FL107,DEL,c,HYD,Clear Skies,14,11,5,0.05,0,15,81,4,92
FL108,AMD,a,COK,Fog,3,0,0,0.01,0,7,68,4,83
FL109,JAI,c,BLR,Fog,6,10,8,0.2,0,16,92,3,79
FL110,BLR,c,IXC,Clear Skies,12,11,3,0.03,0,24,71,1,83
FL111,BOM,c,CCU,Clear Skies,8,6,6,0.08,0,30,63,4,83
FL112,JAI,b,BLR,Clear Skies,9,11,5,0.16,0,19,86,3,81
FL113,BOM,a,CCU,Smoke,5,7,0,0.14,0,23,63,3,82
FL114,JAI,b,BLR,Fog,3,20,14,0.06,0,12,76,3,71
FL115,DEL,c,HYD,Clear Skies,11,9,5,0.02,0,26,53,4,89
FL116,BOM,b,CCU,Fog,6,5,6,0.13,0,20,53,4,75
FL117,MAA,a,PNQ,Clear Skies,8,15,9,0.15,0,28,92,4,83
FL118,JAI,c,BLR,Clear Skies,16,8,5,0.19,0,6,87,4,83
FL119,BLR,c,IXC,Rain,6,5,3,0.16,3,29,54,4,76
FL120,JAI,b,BLR,Rain,4,7,1,0.2,3,15,99,4,79
FL121,BOM,c,CCU,Rain,10,3,0,0.11,1,3,97,3,80
FL122,BLR,a,IXC,Fog,5,10,5,0.16,0,15,78,4,83
FL123,AMD,a,COK,Fog,4,9,6,0.01,0,9,74,3,72
FL124,MAA,a,PNQ,Fog,4,10,5,0.16,0,4,87,4,71
FL125,AMD,b,COK,Fog,2,24,25,0.17,0,9,58,4,53
FL126,BLR,b,IXC,Rain,11,6,2,0.11,4,21,97,3,83
FL127,JAI,c,BLR,Smoke,3,6,5,0.24,0,30,99,3,75
FL128,DEL,a,HYD,Clear Skies,13,5,5,0.24,0,30,69,4,85
FL129,DEL,b,HYD,Clear Skies,16,0,2,0.05,0,15,67,3,89
FL130,MAA,a,PNQ,Clear Skies,9,6,0,0.07,0,4,74,3,80
FL131,DEL,a,HYD,Fog,2,20,10,0.13,0,24,99,4,77
FL132,AMD,c,COK,Clear Skies,10,30,24,0.2,0,15,69,1,56
FL133,BOM,a,CCU,Smoke,6,16,10,0.21,0,20,85,4,73
FL134,BLR,a,IXC,Fog,3,16,16,0.2,0,12,96,4,65
FL135,DEL,c,HYD,Rain,6,0,2,0.2,6,17,80,4,73
FL136,DEL,a,HYD,Clear Skies,17,9,5,0.16,0,12,76,4,86
FL137,AMD,a,COK,Clear Skies,12,2,1,0.15,0,26,89,3,90
FL138,MAA,a,PNQ,Fog,4,20,21,0.03,0,26,75,4,68
FL139,DEL,b,HYD,Fog,7,8,4,0.16,0,22,88,4,83
FL140,BLR,a,IXC,Smoke,7,20,12,0.14,0,26,81,3,74
FL141,JAI,a,BLR,Fog,7,1,0,0.09,0,20,94,4,92
FL142,BOM,b,CCU,Fog,2,5,5,0.24,0,20,65,4,76
FL143,JAI,a,BLR,Fog,3,1,2,0.05,0,22,98,4,87
FL144,JAI,b,BLR,Clear Skies,18,6,3,0.06,0,27,94,4,94
FL145,AMD,a,COK,Fog,2,6,3,0.22,0,8,71,4,70
FL146,DEL,c,HYD,Fog,5,22,14,0.22,0,12,81,3,65
FL147,AMD,a,COK,Smoke,6,4,0,0.05,0,17,91,4,92
FL148,AMD,b,COK,Fog,3,28,16,0.19,0,4,55,3,52
